category,benchmark_name,regime_block,positive_definition,negative_definition,optimization_method,positive_count,negative_count,auc,ks,balanced_accuracy,threshold,whole_category_auc_context,source_artifact,notes
Pesticides,Pesticides / Kim Nayeon original submission,original_submission_benchmark,Student submission's native positive set.,"ZINC-derived structurally distant negatives chosen by dynamic Morgan-fingerprint/Tanimoto cutoff crossing-point logic, then balanced by random sampling.",submission_specific_ppv_histogram_rule,,,0.9710,,,,,김나연_20250786_pesticide.ipynb,"Original notebook benchmark; PR-AUC 0.9763, accuracy 0.9169, MCC 0.8337 were also reported in the source summary."
Pesticides,Pesticides / Lee Seoyun original submission,original_submission_benchmark,Student submission's native positive set.,Drug-derived negatives after Morgan-fingerprint/Tanimoto filtering with threshold <= 0.24 against agrochemical positives.,joint_bayesian_optimization_in_notebook,,,0.9520,0.8710,0.9350,0.3430,,이서윤_20251288_Agrochemical.ipynb,"This is Lee's native benchmark regime, not the broad PubChem stress test."
Pesticides,Pesticides / unrepaired property-matched stress test,stress_test_property_matched,Broad PubChem HID 72 whole-category positives.,Unrepaired property-matched hard negatives drawn from related neighboring categories in robustness validation.,grid_w_objective_fallback,100,227,0.5256,0.2863,0.6431,0.9548,0.7697,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv,Unrepaired broad hard-negative stress metric; do not compare directly to native/original notebook rows.
Cosmetics,Cosmetics / Choi Yebin original automated pipeline,original_submission_benchmark,Student submission's native positive set.,Pesticide-derived negatives after Morgan-fingerprint/Tanimoto filtering with threshold < 0.30.,grid_w_auc_only,,,0.7080,,,,,최예빈_20251266_pesticide.ipynb,Original notebook auto-pipeline selected patterns and then optimized only w for AUC.
Cosmetics,Cosmetics / Choi pipeline + Lee Bayesian optimization (same input pair),hybrid_pipeline_benchmark,Same category input pair as the Choi automated pipeline comparison row.,Negative source file = PubChem_Pesticides.csv; Tanimoto filtering threshold = 0.3.,grid_w_objective_fallback,,1501,0.6683,0.4032,0.7016,0.5059,,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\choi_cosmetic_hybrid_samepair.json,"Same cosmetics-vs-pesticides input pair as the original Choi notebook, but re-fit with the hybrid multi-objective tuner plus fallback."
Cosmetics,Cosmetics / unrepaired property-matched stress test,stress_test_property_matched,Broad PubChem HID 72 whole-category positives.,Unrepaired property-matched hard negatives drawn from related neighboring categories in robustness validation.,grid_w_objective_fallback,100,122,0.6000,0.2000,0.6000,0.0333,0.4645,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv,Unrepaired broad hard-negative stress metric; do not compare directly to native/original notebook rows.
Cosmetics,Cosmetics / audited hard-negative stress test,stress_test_audited_hard_negative,Broad PubChem HID 72 whole-category positives.,"Audited broad hard negatives retained after overlap, dual-use, and near-positive review; not a replacement for the unrepaired property-matched row.",grid_w_objective_fallback,100,122,0.6000,0.2000,0.6000,0.0333,0.4645,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv | D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\audited_hard_negative_audit_summary.csv,Audited broad hard-negative metric after deterministic negative-set audit; keep alongside the unrepaired property-matched row.
Fragrances,Fragrances / Choi Yebin original automated pipeline,original_submission_benchmark,Student submission's native positive set.,Pesticide-derived negatives after Morgan-fingerprint/Tanimoto filtering with threshold < 0.30.,grid_w_auc_only,,,0.8950,,,,,최예빈_20251266_pesticide.ipynb,Original notebook auto-pipeline with AUC-only optimization of w.
Fragrances,Fragrances / Choi pipeline + Lee Bayesian optimization (same input pair),hybrid_pipeline_benchmark,Same category input pair as the Choi automated pipeline comparison row.,Negative source file = PubChem_Pesticides.csv; Tanimoto filtering threshold = 0.3.,lee_tpe_bayesian,,1757,0.9152,0.7067,0.8533,0.5730,,D:\DSWU\2026_기말고사\algorithm_paper_app\app\data\models\choi_fragrance.json,"Same fragrance-vs-pesticides input pair as the original Choi notebook, re-fit with the hybrid multi-objective tuner."
Fragrances,Fragrances / unrepaired property-matched stress test,stress_test_property_matched,Broad PubChem HID 72 whole-category positives.,Unrepaired property-matched hard negatives drawn from related neighboring categories in robustness validation.,grid_w_objective_fallback,100,82,0.6100,0.2200,0.6100,0.1071,0.8969,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv,Unrepaired broad hard-negative stress metric; do not compare directly to native/original notebook rows.
