model_id,label,category,before_auc,after_auc,delta_auc,before_threshold,after_threshold,before_status,after_status,after_optimization_method,source_group
choi_fragrance,Fragrance / Choi Yebin,fragrance,0.8952,0.9152,0.0200,0.6437,0.5730,release,release,lee_tpe_bayesian,release_model
choi_surfactant,Surfactant / Choi Yebin,surfactant,0.9656,0.9649,-0.0007,0.6158,0.5737,release,release,lee_tpe_bayesian,release_model
kim_pesticide,Pesticide / Kim Nayeon,pesticide,0.9710,0.9710,0.0000,0.4340,0.4340,release,release,,release_model
lee_pesticide,Pesticide / Lee Seoyun,pesticide,0.9530,0.9530,0.0000,0.3200,0.3200,release,release,,release_model
pubchem_animal_drugs,Animal Drugs,animal_drugs,0.5797,0.5797,0.0000,0.0500,0.0500,experimental,experimental,grid_w_objective_fallback,pubchem_screen
pubchem_cosmetics,Cosmetics,cosmetics,0.5440,0.4595,-0.0845,0.1032,1.0000,experimental,experimental,lee_tpe_bayesian,pubchem_screen
pubchem_endocrine_disruptors,Endocrine Disruptors / PubChem Auto,endocrine_disruptors,0.8438,0.8399,-0.0039,0.6025,0.8947,release,release,grid_w_objective_fallback,release_model
pubchem_flavoring_agents,Flavoring Agents / PubChem Auto,flavoring_agents,0.9287,0.9270,-0.0017,0.7042,0.6189,release,release,grid_w_objective_fallback,release_model
pubchem_food_additives,Food Additives / PubChem Auto,food_additives,0.6749,0.8066,0.1317,0.8000,0.7528,experimental,release,lee_tpe_bayesian,release_model
pubchem_food_contact_substances,Food Contact Substances,food_contact_substances,0.5000,0.5000,0.0000,inf,0.5000,experimental,experimental,grid_w_objective_fallback,pubchem_screen
pubchem_fragrances,Fragrances,fragrances,0.8854,0.8927,0.0073,0.7038,0.4484,experimental,experimental,lee_tpe_bayesian,pubchem_screen
pubchem_human_drugs,Human Drugs,human_drugs,0.7135,0.7135,0.0000,0.0500,0.0500,experimental,experimental,grid_w_objective_fallback,pubchem_screen
pubchem_lipids,Lipids / PubChem Auto,lipids,0.8940,0.8907,-0.0033,0.4352,0.5714,release,release,grid_w_objective_fallback,release_model
pubchem_pesticides,Pesticides,pesticides,0.7331,0.7385,0.0054,0.3210,0.3270,experimental,experimental,lee_tpe_bayesian,pubchem_screen
pubchem_pfas,PFAS / PubChem Auto,pfas,0.9919,0.9934,0.0015,0.6809,0.5531,release,release,lee_tpe_bayesian,release_model
pubchem_polymers,Polymers,polymers,0.5430,0.5000,-0.0430,0.0429,0.5000,experimental,experimental,grid_w_objective_fallback,pubchem_screen
pubchem_solvents,Solvents / PubChem Auto,solvents,0.9359,0.9359,0.0000,0.0438,0.4813,release,release,grid_w_objective_fallback,release_model
pubchem_surfactants,Surfactants,surfactants,0.9579,0.9547,-0.0032,0.6708,0.4770,experimental,experimental,lee_tpe_bayesian,pubchem_screen
pubchem_uvcb,UVCB,uvcb,0.5783,0.5778,-0.0005,0.8000,0.0500,experimental,experimental,grid_w_objective_fallback,pubchem_screen
