category,positive_count,negative_source_count,negative_count_after_tanimoto,selected_prop_count,selected_props,pattern_count,selected_patterns,best_w,auc,ks,balanced_accuracy,threshold,optimization_method,category_prior_used,model_path,qed_auc,qed_balanced_accuracy,delta_auc_vs_qed,delta_balanced_accuracy_vs_qed,beats_qed_auc,beats_qed_balanced_accuracy,reportable_vs_qed
animal_drugs,859,14405,6010,1,TPSA,7,imidazole;glycol;ester;long_chain;halogen;aromatic_oh;urea,0.4,0.6136,0.2291,0.6145,0.3138,mixed_grid_search,True,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\final_category_rebuild\models\final_animal_drugs.json,0.4445,0.5279,0.1691,0.0866,yes,yes,yes
cosmetics,3665,11599,4525,4,AromaticRings;FCsp3;RotBonds;logP,7,quaternary_n;benzophenone;cinnamate;long_chain;ester;glycol;sulfonate,0.25,0.6179,0.2598,0.6299,0.3581,mixed_grid_search,True,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\final_category_rebuild\models\final_cosmetics.json,0.2605,0.5017,0.3574,0.1282,yes,yes,yes
endocrine_disruptors,5892,14042,3455,5,logP;TPSA;AromaticRings;MW;HBA,4,nitro;aromatic_oh;benzophenone;cinnamate,0.5500,0.8279,0.5485,0.7743,0.4487,mixed_grid_search,true,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\final_category_rebuild\models\final_endocrine_disruptors.json,0.6072,0.5934,0.2207,0.1809,yes,yes,yes
flavoring_agents,2316,12948,6207,6,TPSA;MW;HBA;HBD;AromaticRings;FCsp3,3,aldehyde;cinnamate;ester,0.55,0.9389,0.7777,0.8889,0.531,mixed_grid_search,True,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\final_category_rebuild\models\final_flavoring_agents.json,0.5656,0.638,0.3733,0.2509,yes,yes,yes
food_additives,2809,12455,4685,5,MW;TPSA;HBA;AromaticRings;HBD,3,aldehyde;cinnamate;ester,0.7531,0.8334,0.5352,0.7676,0.4939,mixed_lee_tpe_bayesian,True,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\final_category_rebuild\models\final_food_additives.json,0.4463,0.5501,0.3871,0.2175,yes,yes,yes
food_contact_substances,1910,13354,5578,1,AromaticRings,5,benzophenone;long_chain;ester;glycol;sulfonate,0.55,0.6213,0.2627,0.6314,0.55,mixed_grid_search,True,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\final_category_rebuild\models\final_food_contact_substances.json,0.3497,0.5098,0.2716,0.1216,yes,yes,yes
fragrances,2286,12978,5484,6,TPSA;MW;HBA;HBD;AromaticRings;FCsp3,5,aldehyde;cinnamate;ester;long_chain;benzophenone,0.7,0.9254,0.7205,0.8603,0.5173,mixed_grid_search,True,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\final_category_rebuild\models\final_fragrances.json,0.5527,0.6132,0.3727,0.2471,yes,yes,yes
human_drugs,3749,11515,3422,7,MW;TPSA;HBD;AromaticRings;HBA;RotBonds;FCsp3,13,fluoroaromatic;pyridine;imidazole;nitro;carbamate;aromatic_oh;aromatic_nh2;glycol;long_chain;urea;quaternary_n;ester;halogen,0.4,0.7876,0.4738,0.7369,0.1719,mixed_grid_search,True,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\final_category_rebuild\models\final_human_drugs.json,0.473,0.5641,0.3146,0.1728,yes,yes,yes
pesticides,2847,12417,4438,7,MW;FCsp3;TPSA;HBA;HBD;RotBonds;AromaticRings,6,chloroaromatic;CF3;triazole;nitro;carbamate;urea,0.55,0.7527,0.3679,0.684,0.4985,mixed_grid_search,False,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\final_category_rebuild\models\final_pesticides.json,0.679,0.6217,0.0737,0.0623,yes,yes,yes
solvents,605,14659,8890,6,MW;TPSA;FCsp3;HBA;AromaticRings;HBD,1,long_chain,0.7531,0.9295,0.7361,0.868,0.5021,mixed_lee_tpe_bayesian,False,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\final_category_rebuild\models\final_solvents.json,0.5197,0.6654,0.4098,0.2026,yes,yes,yes
surfactants,268,14996,11815,7,RotBonds;FCsp3;logP;MW;TPSA;HBD;AromaticRings,4,sulfonate;glycol;long_chain;quaternary_n,0.55,0.9778,0.8781,0.9391,0.5383,mixed_grid_search,True,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\final_category_rebuild\models\final_surfactants.json,0.2716,0.5176,0.7062,0.4215,yes,yes,yes
