output_id,output_name,output_level,parent_category,reported_positive_count,reported_auc,reported_balanced_accuracy,validation_regime,recommended_final_policy,source,parent_whole_category_positive_count,parent_whole_category_auc,parent_whole_category_balanced_accuracy,parent_property_matched_auc,parent_property_matched_balanced_accuracy,latest_bounded_broad_status,latest_bounded_broad_caveat,latest_bounded_source,sample_size_risk,key_interpretation,qed_baseline_auc,qed_baseline_balanced_accuracy,delta_auc_vs_qed,delta_balanced_accuracy_vs_qed,beats_qed_auc,beats_qed_balanced_accuracy,reportable_vs_qed
pfas,PFAS,category,,1182,0.9985,0.9837,property_matched,robust_built_in_score,broad_category_current_evidence,1182,0.9936,0.9691,0.9985,0.9837,robustness_single_seed,Current score-robustness row is one bounded run for property_matched; use as release evidence only with the single-seed caveat.,results/score_robustness/score_robustness_summary.csv,adequate_size,Broad category remains the reporting target; scorer status is limited by the latest bounded stress evidence and explicit caveats.,0.2601,0.505,0.7384,0.4787,yes,yes,yes
surfactants,Surfactants,category,,268,0.5863,0.655,property_matched,experimental_broad_category_attempt_positive_delta,broad_category_current_evidence,268,0.9524,0.9015,0.56,0.56,positive_delta,"Latest bounded attempt uses variant=surfactants_native_pesticide_negatives, runs=1, delta_auc=0.0263, delta_balanced_accuracy=0.0950; this is a bounded/single-seed experimental result and must not be treated as final proof.",results/g005_remaining_category_improvement/g005_remaining_category_improvement_summary.csv,adequate_size,Broad category remains the reporting target; scorer status is limited by the latest bounded stress evidence and explicit caveats.,0.4763,0.61,0.11,0.045,yes,yes,yes
solvents,Solvents,category,,605,0.68,0.68,property_matched,preserved_weak_broad_category,broad_category_current_evidence,605,0.9423,0.9082,0.47,0.574,no_confirmed_improvement,"Latest bounded attempt uses variant=baseline_hard_negative, runs=1, delta_auc=0.0000, delta_balanced_accuracy=0.0000; this is a bounded/single-seed experimental result and must not be treated as final proof.",results/g005_remaining_category_improvement/g005_remaining_category_improvement_summary.csv,adequate_size,Broad category remains the reporting target; scorer status is limited by the latest bounded stress evidence and explicit caveats.,0.6113,0.6783,0.0687,0.0017,yes,yes,yes
endocrine_disruptors,Endocrine Disruptors,category,,1196,0.5,0.5,property_matched,experimental_broad_category_attempt_positive_delta,broad_category_current_evidence,1196,0.8391,0.7512,0.3899,0.5278,positive_delta,"Latest bounded attempt uses variant=related_hard, runs=1, delta_auc=0.2400, delta_balanced_accuracy=-0.0200; this is a bounded/single-seed experimental result and must not be treated as final proof.",results/g005_remaining_category_improvement/g005_remaining_category_improvement_summary.csv,adequate_size,Broad category remains the reporting target; scorer status is limited by the latest bounded stress evidence and explicit caveats.,0.1613,0.5,0.3387,0,yes,no,yes
pesticides,Pesticides,category,,1169,0.7287,0.7267,property_matched,experimental_broad_category_attempt_positive_delta,broad_category_current_evidence,1169,0.7697,0.7006,0.5256,0.6431,positive_delta,"Latest bounded attempt uses variant=related_hard, runs=1, delta_auc=0.2284, delta_balanced_accuracy=0.0517; this is a bounded/single-seed experimental result and must not be treated as final proof.",results/g005_remaining_category_improvement/g005_remaining_category_improvement_summary.csv,adequate_size,Broad category remains the reporting target; scorer status is limited by the latest bounded stress evidence and explicit caveats.,0.4347,0.58,0.294,0.1467,yes,yes,yes
fragrances,Fragrances,category,,1138,0.58,0.58,audited_hard_negative,preserved_weak_broad_category,broad_category_current_evidence,1138,0.8969,0.8355,0.61,0.61,no_confirmed_improvement,"Latest bounded attempt uses variant=baseline_hard_negative, runs=1, delta_auc=0.0000, delta_balanced_accuracy=0.0000; this is a bounded/single-seed experimental result and must not be treated as final proof.",results/g005_remaining_category_improvement/g005_remaining_category_improvement_summary.csv,adequate_size,Broad category remains the reporting target; scorer status is limited by the latest bounded stress evidence and explicit caveats.,0.5,0.7,0.08,-0.12,yes,no,yes
food_additives,Food Additives,category,,1169,0.58,0.58,property_matched,preserved_weak_broad_category,broad_category_current_evidence,1169,0.8117,0.7515,0.4247,0.5546,no_confirmed_improvement,"Latest bounded attempt uses variant=baseline_hard_negative, runs=1, delta_auc=0.0000, delta_balanced_accuracy=0.0000; this is a bounded/single-seed experimental result and must not be treated as final proof.",results/g005_remaining_category_improvement/g005_remaining_category_improvement_summary.csv,adequate_size,Broad category remains the reporting target; scorer status is limited by the latest bounded stress evidence and explicit caveats.,0.587,0.6883,-0.007,-0.1083,no,no,no
flavoring_agents,Flavoring Agents,category,,1163,0.66,0.66,audited_hard_negative,preserved_weak_broad_category,broad_category_current_evidence,1163,0.9245,0.8679,0.525,0.525,no_confirmed_improvement,"Latest bounded attempt uses variant=baseline_hard_negative, runs=1, delta_auc=0.0000, delta_balanced_accuracy=0.0000; this is a bounded/single-seed experimental result and must not be treated as final proof.",results/g005_remaining_category_improvement/g005_remaining_category_improvement_summary.csv,adequate_size,Broad category remains the reporting target; scorer status is limited by the latest bounded stress evidence and explicit caveats.,0.75,0.8,-0.09,-0.14,no,no,no
lipids,Lipids,category,,1185,0.8811,0.8167,audited_hard_negative,bounded_candidate_do_not_promote_without_multi_seed_confirmation,broad_category_current_evidence,1185,0.895,0.8298,0.625,0.625,positive_delta,"Latest bounded attempt uses variant=category_prior_hard_negative, runs=1, delta_auc=0.1155, delta_balanced_accuracy=0.0556; this is a bounded/single-seed experimental result and must not be treated as final proof.",results/g005_remaining_category_improvement/g005_remaining_category_improvement_summary.csv,adequate_size,Broad category remains the reporting target; scorer status is limited by the latest bounded stress evidence and explicit caveats.,0.3889,0.64,0.4922,0.1767,yes,yes,yes
cosmetics,Cosmetics,category,,1179,0.5933,0.5933,audited_hard_negative,preserved_weak_broad_category_with_supporting_panels,broad_category_current_evidence,1179,0.4645,0.5068,0.6,0.6,no_confirmed_improvement,"Latest bounded attempt uses variant=baseline, runs=1, delta_auc=0.0000, delta_balanced_accuracy=0.0000; this is a bounded/single-seed experimental result and must not be treated as final proof.",results/g003_broad_category_improvement/g003_broad_category_improvement_summary.csv,adequate_size,Broad category remains the reporting target; scorer status is limited by the latest bounded stress evidence and explicit caveats.,0.1582,0.5,0.4351,0.0933,yes,yes,yes
food_contact_substances,Food Contact Substances,category,,1187,0.5,0.5,audited_hard_negative,preserved_weak_broad_category_with_supporting_panels,broad_category_current_evidence,1187,0.5,0.5,0.44,0.5573,positive_delta,"Latest bounded attempt uses variant=all_other_random, runs=1, delta_auc=0.0980, delta_balanced_accuracy=-0.0182; this is a bounded/single-seed experimental result and must not be treated as final proof.",results/g003_broad_category_improvement/g003_broad_category_improvement_summary.csv,adequate_size,Broad category remains the reporting target; scorer status is limited by the latest bounded stress evidence and explicit caveats.,0.2074,0.5,0.2926,0,yes,no,yes
human_drugs,Human Drugs,category,,1167,0.4609,0.5443,audited_hard_negative,preserved_weak_broad_category_with_supporting_panels,broad_category_current_evidence,1167,0.7128,0.6764,0.3815,0.5,positive_delta,"Latest bounded attempt uses variant=related_hard, runs=1, delta_auc=0.0859, delta_balanced_accuracy=0.0443; this is a bounded/single-seed experimental result and must not be treated as final proof.",results/g004_broad_drug_improvement/g004_broad_category_improvement_summary.csv,adequate_size,Broad category remains the reporting target; scorer status is limited by the latest bounded stress evidence and explicit caveats.,0.2368,0.5,0.2241,0.0443,yes,yes,yes
animal_drugs,Animal Drugs,category,,859,0.5236,0.5673,audited_hard_negative,preserved_weak_broad_category_with_supporting_panels,broad_category_current_evidence,859,0.5816,0.567,0.43,0.53,positive_delta,"Latest bounded attempt uses variant=related_hard_category_prior, runs=1, delta_auc=0.1169, delta_balanced_accuracy=0.0456; this is a bounded/single-seed experimental result and must not be treated as final proof.",results/g004_broad_drug_improvement/g004_broad_category_improvement_summary.csv,adequate_size,Broad category remains the reporting target; scorer status is limited by the latest bounded stress evidence and explicit caveats.,0.2047,0.5,0.3189,0.0673,yes,yes,yes
polymers,Polymers,category,,1134,0.5,0.5,property_matched,not_prioritized_broad_category,broad_category_current_evidence,1134,0.5,0.5,,,missing_current_bounded_row,No current bounded stress row found; preserve only as an inventory target.,results/score_robustness/score_robustness_summary.csv,adequate_size,Broad category remains the reporting target; scorer status is limited by the latest bounded stress evidence and explicit caveats.,,,,,,,
uvcb,UVCB,category,,315,0.5759,0.55,property_matched,not_prioritized_broad_category,broad_category_current_evidence,315,0.5759,0.55,,,missing_current_bounded_row,No current bounded stress row found; preserve only as an inventory target.,results/score_robustness/score_robustness_summary.csv,adequate_size,Broad category remains the reporting target; scorer status is limited by the latest bounded stress evidence and explicit caveats.,,,,,,,
pesticides__kim_nayeon_original_scorer,Pesticides / Kim Nayeon original scorer,scoring_function,Pesticides,,0.9710,,original_submission_negative_set,submission_scorer_reference,kim_original_submission,1169,0.7697,0.7006,0.5256,0.6431,positive_delta,"Latest bounded attempt uses variant=related_hard, runs=1, delta_auc=0.2284, delta_balanced_accuracy=0.0517; this is a bounded/single-seed experimental result and must not be treated as final proof.",results/g005_remaining_category_improvement/g005_remaining_category_improvement_summary.csv,submission_dataset_not_recast_here,"Original notebook benchmark (ROC-AUC 0.9710, PR-AUC 0.9763, Accuracy 0.9169, MCC 0.8337); not comparable to current broad PubChem stress tests.",,,,,,,
pesticides__lee_seoyun_original_scorer,Pesticides / Lee Seoyun original scorer,scoring_function,Pesticides,,0.9520,0.9350,original_submission_negative_set,submission_scorer_reference,lee_original_submission,1169,0.7697,0.7006,0.5256,0.6431,positive_delta,"Latest bounded attempt uses variant=related_hard, runs=1, delta_auc=0.2284, delta_balanced_accuracy=0.0517; this is a bounded/single-seed experimental result and must not be treated as final proof.",results/g005_remaining_category_improvement/g005_remaining_category_improvement_summary.csv,submission_dataset_not_recast_here,"Original Lee agrochemical/drug-negative benchmark with Tanimoto <= 0.24, KS 0.871, threshold 0.343; not comparable to current broad PubChem stress tests.",,,,,,,
cosmetics__choi_yebin_original_scorer,Cosmetics / Choi Yebin original scorer,scoring_function,Cosmetics,,0.7080,,original_submission_negative_set,submission_scorer_reference,choi_original_submission,1179,0.4645,0.5068,0.6,0.6,no_confirmed_improvement,"Latest bounded attempt uses variant=baseline, runs=1, delta_auc=0.0000, delta_balanced_accuracy=0.0000; this is a bounded/single-seed experimental result and must not be treated as final proof.",results/g003_broad_category_improvement/g003_broad_category_improvement_summary.csv,submission_dataset_not_recast_here,Original Choi automated scorer used pesticide-derived negatives; retained only as a native-scorer reference beside the weak broad cosmetics target.,,,,,,,
fragrances__choi_yebin_original_scorer,Fragrances / Choi Yebin original scorer,scoring_function,Fragrances,,0.8950,,original_submission_negative_set,submission_scorer_reference,choi_original_submission,1138,0.8969,0.8355,0.61,0.61,no_confirmed_improvement,"Latest bounded attempt uses variant=baseline_hard_negative, runs=1, delta_auc=0.0000, delta_balanced_accuracy=0.0000; this is a bounded/single-seed experimental result and must not be treated as final proof.",results/g005_remaining_category_improvement/g005_remaining_category_improvement_summary.csv,submission_dataset_not_recast_here,Original Choi automated scorer used pesticide-derived negatives; retained only as a native-scorer reference beside current broad-category caveats.,,,,,,,
surfactants__choi_yebin_original_scorer,Surfactants / Choi Yebin original scorer,scoring_function,Surfactants,,0.9660,,original_submission_negative_set,submission_scorer_reference,choi_original_submission,268,0.9524,0.9015,0.56,0.56,positive_delta,"Latest bounded attempt uses variant=surfactants_native_pesticide_negatives, runs=1, delta_auc=0.0263, delta_balanced_accuracy=0.0950; this is a bounded/single-seed experimental result and must not be treated as final proof.",results/g005_remaining_category_improvement/g005_remaining_category_improvement_summary.csv,submission_dataset_not_recast_here,Original Choi automated scorer used pesticide-derived negatives; retained only as a native-scorer reference beside current broad-category caveats.,,,,,,,
cosmetics__family_02__ester_long_chain_family,Cosmetics / Ester Long Chain Family,subcategory,Cosmetics,41,0.9724,0.9251,property_matched,evidence_panel,results/subcategory_validation/subcategory_summary.csv,1179,0.4645,0.5068,0.6,0.6,no_confirmed_improvement,"Latest bounded attempt uses variant=baseline, runs=1, delta_auc=0.0000, delta_balanced_accuracy=0.0000; this is a bounded/single-seed experimental result and must not be treated as final proof.",results/g003_broad_category_improvement/g003_broad_category_improvement_summary.csv,adequate_size,"Whole-category score is weak, but subtype-family scores are strong; report as evidence panel with prototype-family support. Broad parent status remains caveated by latest bounded broad-category evidence.",,,,,,,
