category,variant,seed,regime,train_regime,eval_regime,positive_count,train_negative_source_count,negative_count,auc,ks,balanced_accuracy,overlap,threshold,best_w,optimization_method,category_prior_used,prior_motifs,model_path
cosmetics,baseline,11,audited_hard_negative,audited_hard_negative,audited_hard_negative,300,293,293,0.5933,0.1867,0.5933,0.0,0.0238,0.0,grid_w_objective_fallback,False,,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g003_broad_category_improvement\cosmetics\baseline\seed_11\model.json
cosmetics,category_prior,11,audited_hard_negative,audited_hard_negative,audited_hard_negative,300,293,293,0.499,0.2667,0.5871,0.136,0.957,0.95,grid_w_objective_fallback,True,long_chain;ester;glycol;sulfonate;quaternary_n;benzophenone;cinnamate,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g003_broad_category_improvement\cosmetics\category_prior\seed_11\model.json
cosmetics,cosmetics_pesticide_negatives,11,audited_hard_negative,pesticides_native_source,audited_hard_negative,300,600,293,0.4565,0.2466,0.5527,0.7805,0.8861,0.3188,lee_tpe_bayesian,False,,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g003_broad_category_improvement\cosmetics\cosmetics_pesticide_negatives\seed_11\model.json
cosmetics,cosmetics_pesticide_negatives_category_prior,11,audited_hard_negative,pesticides_native_source,audited_hard_negative,300,600,293,0.4549,0.2466,0.5446,0.7683,0.7814,0.3188,lee_tpe_bayesian,True,long_chain;ester;glycol;sulfonate;quaternary_n;benzophenone;cinnamate,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g003_broad_category_improvement\cosmetics\cosmetics_pesticide_negatives_category_prior\seed_11\model.json
cosmetics,all_other_random,11,audited_hard_negative,all_other_random,audited_hard_negative,300,600,293,0.5033,0.0067,0.5033,0.0,1.0,0.0,grid_w_objective_fallback,False,,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g003_broad_category_improvement\cosmetics\all_other_random\seed_11\model.json
cosmetics,all_other_random_category_prior,11,audited_hard_negative,all_other_random,audited_hard_negative,300,600,293,0.5277,0.1642,0.5821,0.787,0.3391,0.05,grid_w_objective_fallback,True,long_chain;ester;glycol;sulfonate;quaternary_n;benzophenone;cinnamate,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g003_broad_category_improvement\cosmetics\all_other_random_category_prior\seed_11\model.json
food_contact_substances,baseline,11,audited_hard_negative,audited_hard_negative,audited_hard_negative,300,295,295,0.402,0.2367,0.5182,0.0513,0.9521,0.95,grid_w_objective_fallback,False,,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g003_broad_category_improvement\food_contact_substances\baseline\seed_11\model.json
food_contact_substances,category_prior,11,audited_hard_negative,audited_hard_negative,audited_hard_negative,300,295,295,0.3817,0.2367,0.5,0.0,0.5,1.0,grid_w_objective_fallback,True,long_chain;ester;glycol;sulfonate,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g003_broad_category_improvement\food_contact_substances\category_prior\seed_11\model.json
food_contact_substances,all_other_random,11,audited_hard_negative,all_other_random,audited_hard_negative,300,600,295,0.5,0.0,0.5,0.0,0.5,0.0,grid_w_objective_fallback,False,,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g003_broad_category_improvement\food_contact_substances\all_other_random\seed_11\model.json
food_contact_substances,all_other_random_category_prior,11,audited_hard_negative,all_other_random,audited_hard_negative,300,600,295,0.3035,0.322,0.5032,0.3733,0.9912,0.95,grid_w_objective_fallback,True,long_chain;ester;glycol;sulfonate,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g003_broad_category_improvement\food_contact_substances\all_other_random_category_prior\seed_11\model.json
food_contact_substances,food_contact_related_hard,11,audited_hard_negative,related_hard,audited_hard_negative,300,600,295,0.4394,0.1667,0.5141,0.2354,0.9067,0.9,grid_w_objective_fallback,False,,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g003_broad_category_improvement\food_contact_substances\food_contact_related_hard\seed_11\model.json
food_contact_substances,food_contact_related_hard_category_prior,11,audited_hard_negative,related_hard,audited_hard_negative,300,600,295,0.3342,0.2991,0.5081,0.4298,0.9366,0.9,grid_w_objective_fallback,True,long_chain;ester;glycol;sulfonate,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g003_broad_category_improvement\food_contact_substances\food_contact_related_hard_category_prior\seed_11\model.json
