category,variant,regime,runs,auc_mean,auc_sd,auc_min,auc_max,balanced_accuracy_mean,balanced_accuracy_sd,ks_mean,ks_sd,delta_auc_vs_baseline_mean,delta_ba_vs_baseline_mean
cosmetics,baseline,audited_hard_negative,1,0.5933,0.0,0.5933,0.5933,0.5933,0.0,0.1867,0.0,0.0,0.0
cosmetics,category_prior,audited_hard_negative,1,0.499,0.0,0.499,0.499,0.5871,0.0,0.2667,0.0,-0.0943,-0.0062
cosmetics,cosmetics_pesticide_negatives,audited_hard_negative,1,0.4565,0.0,0.4565,0.4565,0.5527,0.0,0.2466,0.0,-0.1368,-0.0406
cosmetics,cosmetics_pesticide_negatives_category_prior,audited_hard_negative,1,0.4549,0.0,0.4549,0.4549,0.5446,0.0,0.2466,0.0,-0.1384,-0.0487
cosmetics,all_other_random,audited_hard_negative,1,0.5033,0.0,0.5033,0.5033,0.5033,0.0,0.0067,0.0,-0.09,-0.09
cosmetics,all_other_random_category_prior,audited_hard_negative,1,0.5277,0.0,0.5277,0.5277,0.5821,0.0,0.1642,0.0,-0.0656,-0.0112
food_contact_substances,baseline,audited_hard_negative,1,0.402,0.0,0.402,0.402,0.5182,0.0,0.2367,0.0,0.0,0.0
food_contact_substances,category_prior,audited_hard_negative,1,0.3817,0.0,0.3817,0.3817,0.5,0.0,0.2367,0.0,-0.0203,-0.0182
food_contact_substances,all_other_random,audited_hard_negative,1,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.098,-0.0182
food_contact_substances,all_other_random_category_prior,audited_hard_negative,1,0.3035,0.0,0.3035,0.3035,0.5032,0.0,0.322,0.0,-0.0985,-0.015
food_contact_substances,food_contact_related_hard,audited_hard_negative,1,0.4394,0.0,0.4394,0.4394,0.5141,0.0,0.1667,0.0,0.0374,-0.0041
food_contact_substances,food_contact_related_hard_category_prior,audited_hard_negative,1,0.3342,0.0,0.3342,0.3342,0.5081,0.0,0.2991,0.0,-0.0678,-0.0101
