category,variant,seed,regime,train_regime,eval_regime,target_scope,positive_count,train_negative_source_count,negative_count,auc,ks,balanced_accuracy,overlap,threshold,best_w,optimization_method,category_prior_used,prior_source,prior_motifs,model_path
human_drugs,baseline,11,audited_hard_negative,audited_hard_negative,audited_hard_negative,broad_category,300,280,280,0.375,0.25,0.5,0.0,0.5,1.0,grid_w_objective_fallback,False,,,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g004_broad_drug_improvement\human_drugs\baseline\seed_11\model.json
human_drugs,category_prior,11,audited_hard_negative,audited_hard_negative,audited_hard_negative,broad_category,300,280,280,0.375,0.25,0.5,0.0,0.5,1.0,grid_w_objective_fallback,True,"data/evidence_panels/human_drugs.json; motifs used only as broad-category priors, not subtype replacement targets",imidazole;long_chain;aromatic_oh;urea;quaternary_n;ester;halogen,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g004_broad_drug_improvement\human_drugs\category_prior\seed_11\model.json
human_drugs,all_other_random,11,audited_hard_negative,all_other_random,audited_hard_negative,broad_category,300,600,280,0.4439,0.19,0.546,0.848,0.397,0.05,grid_w_objective_fallback,False,,,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g004_broad_drug_improvement\human_drugs\all_other_random\seed_11\model.json
human_drugs,all_other_random_category_prior,11,audited_hard_negative,all_other_random,audited_hard_negative,broad_category,300,600,280,0.2483,0.4688,0.5181,0.5469,0.674,0.4874,lee_tpe_bayesian,True,"data/evidence_panels/human_drugs.json; motifs used only as broad-category priors, not subtype replacement targets",imidazole;long_chain;aromatic_oh;urea;quaternary_n;ester;halogen,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g004_broad_drug_improvement\human_drugs\all_other_random_category_prior\seed_11\model.json
human_drugs,related_hard,11,audited_hard_negative,related_hard,audited_hard_negative,broad_category,300,600,280,0.4609,0.19,0.5443,0.824,0.5225,0.05,grid_w_objective_fallback,False,,,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g004_broad_drug_improvement\human_drugs\related_hard\seed_11\model.json
human_drugs,related_hard_category_prior,11,audited_hard_negative,related_hard,audited_hard_negative,broad_category,300,600,280,0.2645,0.4236,0.5083,0.6083,0.7688,0.4874,lee_tpe_bayesian,True,"data/evidence_panels/human_drugs.json; motifs used only as broad-category priors, not subtype replacement targets",imidazole;long_chain;aromatic_oh;urea;quaternary_n;ester;halogen,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g004_broad_drug_improvement\human_drugs\related_hard_category_prior\seed_11\model.json
animal_drugs,baseline,11,audited_hard_negative,audited_hard_negative,audited_hard_negative,broad_category,300,272,272,0.4067,0.23,0.5217,0.0,0.5625,0.5,grid_w_objective_fallback,False,,,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g004_broad_drug_improvement\animal_drugs\baseline\seed_11\model.json
animal_drugs,category_prior,11,audited_hard_negative,audited_hard_negative,audited_hard_negative,broad_category,300,272,272,0.3733,0.2533,0.5,0.0,0.5,1.0,grid_w_objective_fallback,True,"data/evidence_panels/animal_drugs.json; motifs used only as broad-category priors, not subtype replacement targets",ester;long_chain;halogen;imidazole;aromatic_oh;urea,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g004_broad_drug_improvement\animal_drugs\category_prior\seed_11\model.json
animal_drugs,all_other_random,11,audited_hard_negative,all_other_random,audited_hard_negative,broad_category,300,600,272,0.41,0.2233,0.5217,0.0,0.9583,0.05,grid_w_objective_fallback,False,,,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g004_broad_drug_improvement\animal_drugs\all_other_random\seed_11\model.json
animal_drugs,all_other_random_category_prior,11,audited_hard_negative,all_other_random,audited_hard_negative,broad_category,300,600,272,0.5077,0.1207,0.5604,0.6157,0.7451,0.6323,lee_tpe_bayesian,True,"data/evidence_panels/animal_drugs.json; motifs used only as broad-category priors, not subtype replacement targets",ester;long_chain;halogen;imidazole;aromatic_oh;urea,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g004_broad_drug_improvement\animal_drugs\all_other_random_category_prior\seed_11\model.json
animal_drugs,related_hard,11,audited_hard_negative,related_hard,audited_hard_negative,broad_category,300,600,272,0.41,0.2233,0.5217,0.0,0.95,0.05,grid_w_objective_fallback,False,,,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g004_broad_drug_improvement\animal_drugs\related_hard\seed_11\model.json
animal_drugs,related_hard_category_prior,11,audited_hard_negative,related_hard,audited_hard_negative,broad_category,300,600,272,0.5236,0.1346,0.5673,0.5716,0.7004,0.6323,lee_tpe_bayesian,True,"data/evidence_panels/animal_drugs.json; motifs used only as broad-category priors, not subtype replacement targets",ester;long_chain;halogen;imidazole;aromatic_oh;urea,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g004_broad_drug_improvement\animal_drugs\related_hard_category_prior\seed_11\model.json
