category,variant,seed,train_regime,eval_regime,target_scope,metric_semantics,positive_count,train_negative_source_count,negative_count,auc,ks,balanced_accuracy,overlap,threshold,best_w,optimization_method,category_prior_used,prior_source,prior_motifs,model_path
pesticides,baseline_hard_negative,11,property_matched,property_matched,broad_category,external_eval_metrics_against_eval_regime_negatives,25,60,60,0.5003,0.4,0.675,0.0686,0.9565,0.95,grid_w_objective_fallback,False,,,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g005_remaining_category_improvement\pesticides\baseline_hard_negative\seed_11\model.json
pesticides,all_other_random,11,all_other_random,property_matched,broad_category,external_eval_metrics_against_eval_regime_negatives,25,60,60,0.6983,0.3967,0.6983,0.5202,0.4978,0.4,grid_w_objective_fallback,False,,,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g005_remaining_category_improvement\pesticides\all_other_random\seed_11\model.json
pesticides,related_hard,11,related_hard,property_matched,broad_category,external_eval_metrics_against_eval_regime_negatives,25,60,60,0.7287,0.4533,0.7267,0.4575,0.1014,0.0,grid_w_objective_fallback,False,,,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g005_remaining_category_improvement\pesticides\related_hard\seed_11\model.json
pesticides,pesticides_native_lee_negatives,11,pesticides_native_lee_negative_data,property_matched,broad_category,external_eval_metrics_against_eval_regime_negatives,25,60,60,0.5143,0.28,0.61,0.585,0.6981,0.4874,lee_tpe_bayesian,False,,,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g005_remaining_category_improvement\pesticides\pesticides_native_lee_negatives\seed_11\model.json
fragrances,baseline_hard_negative,11,audited_hard_negative,audited_hard_negative,broad_category,external_eval_metrics_against_eval_regime_negatives,25,2,2,0.58,0.16,0.58,0.0,0.25,0.0,grid_w_objective_fallback,False,,,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g005_remaining_category_improvement\fragrances\baseline_hard_negative\seed_11\model.json
fragrances,category_prior_hard_negative,11,audited_hard_negative,audited_hard_negative,broad_category,external_eval_metrics_against_eval_regime_negatives,25,2,2,0.46,0.46,0.69,0.5959,0.372,0.4,grid_w_objective_fallback,True,data/models/choi_fragrance.json and data/models/pubchem_flavoring_agents.json broad Choi pattern evidence,ester;aldehyde;long_chain;benzophenone;cinnamate,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g005_remaining_category_improvement\fragrances\category_prior_hard_negative\seed_11\model.json
fragrances,all_other_random,11,all_other_random,audited_hard_negative,broad_category,external_eval_metrics_against_eval_regime_negatives,25,60,2,0.44,0.42,0.65,0.6839,0.7188,0.75,grid_w_objective_fallback,False,,,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g005_remaining_category_improvement\fragrances\all_other_random\seed_11\model.json
fragrances,all_other_random_category_prior,11,all_other_random,audited_hard_negative,broad_category,external_eval_metrics_against_eval_regime_negatives,25,60,2,0.43,0.5,0.67,0.6395,0.6038,0.65,grid_w_objective_fallback,True,data/models/choi_fragrance.json and data/models/pubchem_flavoring_agents.json broad Choi pattern evidence,ester;aldehyde;long_chain;benzophenone;cinnamate,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g005_remaining_category_improvement\fragrances\all_other_random_category_prior\seed_11\model.json
fragrances,related_hard,11,related_hard,audited_hard_negative,broad_category,external_eval_metrics_against_eval_regime_negatives,25,60,2,0.51,0.24,0.57,0.7885,0.8,0.8,grid_w_objective_fallback,False,,,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g005_remaining_category_improvement\fragrances\related_hard\seed_11\model.json
fragrances,related_hard_category_prior,11,related_hard,audited_hard_negative,broad_category,external_eval_metrics_against_eval_regime_negatives,25,60,2,0.45,0.5,0.69,0.6323,0.575,0.65,grid_w_objective_fallback,True,data/models/choi_fragrance.json and data/models/pubchem_flavoring_agents.json broad Choi pattern evidence,ester;aldehyde;long_chain;benzophenone;cinnamate,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g005_remaining_category_improvement\fragrances\related_hard_category_prior\seed_11\model.json
