category,variant,train_regime,eval_regime,target_scope,metric_semantics,runs,auc_mean,auc_sd,auc_min,auc_max,balanced_accuracy_mean,balanced_accuracy_sd,ks_mean,ks_sd,delta_auc_vs_baseline_mean,delta_ba_vs_baseline_mean
pesticides,baseline_hard_negative,property_matched,property_matched,broad_category,external_eval_metrics_against_eval_regime_negatives,1,0.5003,0.0,0.5003,0.5003,0.675,0.0,0.4,0.0,0.0,0.0
pesticides,all_other_random,all_other_random,property_matched,broad_category,external_eval_metrics_against_eval_regime_negatives,1,0.6983,0.0,0.6983,0.6983,0.6983,0.0,0.3967,0.0,0.198,0.0233
pesticides,related_hard,related_hard,property_matched,broad_category,external_eval_metrics_against_eval_regime_negatives,1,0.7287,0.0,0.7287,0.7287,0.7267,0.0,0.4533,0.0,0.2284,0.0517
pesticides,pesticides_native_lee_negatives,pesticides_native_lee_negative_data,property_matched,broad_category,external_eval_metrics_against_eval_regime_negatives,1,0.5143,0.0,0.5143,0.5143,0.61,0.0,0.28,0.0,0.014,-0.065
fragrances,baseline_hard_negative,audited_hard_negative,audited_hard_negative,broad_category,external_eval_metrics_against_eval_regime_negatives,1,0.58,0.0,0.58,0.58,0.58,0.0,0.16,0.0,0.0,0.0
fragrances,category_prior_hard_negative,audited_hard_negative,audited_hard_negative,broad_category,external_eval_metrics_against_eval_regime_negatives,1,0.46,0.0,0.46,0.46,0.69,0.0,0.46,0.0,-0.12,0.11
fragrances,all_other_random,all_other_random,audited_hard_negative,broad_category,external_eval_metrics_against_eval_regime_negatives,1,0.44,0.0,0.44,0.44,0.65,0.0,0.42,0.0,-0.14,0.07
fragrances,all_other_random_category_prior,all_other_random,audited_hard_negative,broad_category,external_eval_metrics_against_eval_regime_negatives,1,0.43,0.0,0.43,0.43,0.67,0.0,0.5,0.0,-0.15,0.09
fragrances,related_hard,related_hard,audited_hard_negative,broad_category,external_eval_metrics_against_eval_regime_negatives,1,0.51,0.0,0.51,0.51,0.57,0.0,0.24,0.0,-0.07,-0.01
fragrances,related_hard_category_prior,related_hard,audited_hard_negative,broad_category,external_eval_metrics_against_eval_regime_negatives,1,0.45,0.0,0.45,0.45,0.69,0.0,0.5,0.0,-0.13,0.11
fragrances,fragrances_native_pesticide_negatives,choi_native_pesticides_negative_source,audited_hard_negative,broad_category,external_eval_metrics_against_eval_regime_negatives,1,0.44,0.0,0.44,0.44,0.65,0.0,0.42,0.0,-0.14,0.07
fragrances,fragrances_native_pesticide_negatives_category_prior,choi_native_pesticides_negative_source,audited_hard_negative,broad_category,external_eval_metrics_against_eval_regime_negatives,1,0.43,0.0,0.43,0.43,0.67,0.0,0.5,0.0,-0.15,0.09
food_additives,baseline_hard_negative,property_matched,property_matched,broad_category,external_eval_metrics_against_eval_regime_negatives,1,0.58,0.0,0.58,0.58,0.58,0.0,0.16,0.0,0.0,0.0
food_additives,category_prior_hard_negative,property_matched,property_matched,broad_category,external_eval_metrics_against_eval_regime_negatives,1,0.2947,0.0,0.2947,0.2947,0.6033,0.0,0.64,0.0,-0.2853,0.0233
food_additives,all_other_random,all_other_random,property_matched,broad_category,external_eval_metrics_against_eval_regime_negatives,1,0.1323,0.0,0.1323,0.1323,0.5233,0.0,0.76,0.0,-0.4477,-0.0567
food_additives,all_other_random_category_prior,all_other_random,property_matched,broad_category,external_eval_metrics_against_eval_regime_negatives,1,0.1323,0.0,0.1323,0.1323,0.5233,0.0,0.76,0.0,-0.4477,-0.0567
food_additives,related_hard,related_hard,property_matched,broad_category,external_eval_metrics_against_eval_regime_negatives,1,0.52,0.0,0.52,0.52,0.52,0.0,0.04,0.0,-0.06,-0.06
food_additives,related_hard_category_prior,related_hard,property_matched,broad_category,external_eval_metrics_against_eval_regime_negatives,1,0.232,0.0,0.232,0.232,0.5633,0.0,0.68,0.0,-0.348,-0.0167
flavoring_agents,baseline_hard_negative,audited_hard_negative,audited_hard_negative,broad_category,external_eval_metrics_against_eval_regime_negatives,1,0.66,0.0,0.66,0.66,0.66,0.0,0.32,0.0,0.0,0.0
flavoring_agents,category_prior_hard_negative,audited_hard_negative,audited_hard_negative,broad_category,external_eval_metrics_against_eval_regime_negatives,1,0.28,0.0,0.28,0.28,0.62,0.0,0.68,0.0,-0.38,-0.04
flavoring_agents,all_other_random,all_other_random,audited_hard_negative,broad_category,external_eval_metrics_against_eval_regime_negatives,1,0.44,0.0,0.44,0.44,0.62,0.0,0.36,0.0,-0.22,-0.04
flavoring_agents,all_other_random_category_prior,all_other_random,audited_hard_negative,broad_category,external_eval_metrics_against_eval_regime_negatives,1,0.24,0.0,0.24,0.24,0.6,0.0,0.72,0.0,-0.42,-0.06
flavoring_agents,related_hard,related_hard,audited_hard_negative,broad_category,external_eval_metrics_against_eval_regime_negatives,1,0.28,0.0,0.28,0.28,0.5,0.0,0.44,0.0,-0.38,-0.16
flavoring_agents,related_hard_category_prior,related_hard,audited_hard_negative,broad_category,external_eval_metrics_against_eval_regime_negatives,1,0.2,0.0,0.2,0.2,0.58,0.0,0.76,0.0,-0.46,-0.08
