model_id,name,category,hnid,positive_count,negative_count,auc,ks,balanced_accuracy,objective,threshold,optimization_method,optimization_trials,status,promoted,release_eligible,model_path
pubchem_lipids,Lipids,lipids,12946385,1479,3000,0.8907,0.6508,0.8254,1.2674,0.5714,grid_w_objective_fallback,0,release,True,True,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\pubchem_pipeline\models\pubchem_lipids.json
pubchem_pfas,PFAS,pfas,12950177,1481,3000,0.9934,0.9315,0.9657,0.2412,0.5531,lee_tpe_bayesian,8,release,True,True,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\pubchem_pipeline\models\pubchem_pfas.json
pubchem_endocrine_disruptors,Endocrine Disruptors,endocrine_disruptors,12950175,1486,3000,0.8399,0.5182,0.7591,1.5908,0.8947,grid_w_objective_fallback,0,release,True,True,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\pubchem_pipeline\models\pubchem_endocrine_disruptors.json
pubchem_human_drugs,Human Drugs,human_drugs,12950172,1457,3000,0.7135,0.3591,0.6795,2.2843,0.0500,grid_w_objective_fallback,0,experimental,False,True,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\pubchem_pipeline\models\pubchem_human_drugs.json
pubchem_cosmetics,Cosmetics,cosmetics,12950174,1471,3000,0.4595,0.0885,0.5037,2.6232,1.0000,lee_tpe_bayesian,8,experimental,False,True,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\pubchem_pipeline\models\pubchem_cosmetics.json
pubchem_pesticides,Pesticides,pesticides,12950176,1463,3000,0.7385,0.3732,0.6866,2.1756,0.3270,lee_tpe_bayesian,8,experimental,False,False,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\pubchem_pipeline\models\pubchem_pesticides.json
pubchem_food_additives,Food Additives,food_additives,12946439,1448,3000,0.8066,0.4985,0.7493,1.7708,0.7528,lee_tpe_bayesian,8,release,True,True,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\pubchem_pipeline\models\pubchem_food_additives.json
pubchem_fragrances,Fragrances,fragrances,12950244,1391,3000,0.8927,0.6640,0.8320,1.1637,0.4484,lee_tpe_bayesian,8,experimental,False,False,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\pubchem_pipeline\models\pubchem_fragrances.json
pubchem_flavoring_agents,Flavoring Agents,flavoring_agents,17821330,1439,3000,0.9270,0.7475,0.8737,0.9048,0.6189,grid_w_objective_fallback,0,release,True,True,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\pubchem_pipeline\models\pubchem_flavoring_agents.json
pubchem_food_contact_substances,Food Contact Substances,food_contact_substances,17227309,1477,3000,0.5000,0.0000,0.5000,1.7000,0.5000,grid_w_objective_fallback,0,experimental,False,True,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\pubchem_pipeline\models\pubchem_food_contact_substances.json
pubchem_polymers,Polymers,polymers,12950178,1134,3000,0.5000,0.0000,0.5000,1.7000,0.5000,grid_w_objective_fallback,0,experimental,False,True,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\pubchem_pipeline\models\pubchem_polymers.json
pubchem_animal_drugs,Animal Drugs,animal_drugs,12950173,859,3000,0.5797,0.1313,0.5657,2.4813,0.0500,grid_w_objective_fallback,0,experimental,False,True,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\pubchem_pipeline\models\pubchem_animal_drugs.json
pubchem_solvents,Solvents,solvents,13315352,605,3000,0.9359,0.8092,0.9046,0.6476,0.4813,grid_w_objective_fallback,0,release,True,True,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\pubchem_pipeline\models\pubchem_solvents.json
pubchem_uvcb,UVCB,uvcb,12950245,315,3000,0.5778,0.1361,0.5680,2.5442,0.0500,grid_w_objective_fallback,0,experimental,False,True,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\pubchem_pipeline\models\pubchem_uvcb.json
pubchem_surfactants,Surfactants,surfactants,13589650,268,3000,0.9547,0.8187,0.9094,0.6240,0.4770,lee_tpe_bayesian,8,experimental,False,False,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\pubchem_pipeline\models\pubchem_surfactants.json
