model_id,name,category,hnid,compound_count,positive_count,negative_count,auc,ks,balanced_accuracy,objective,threshold,optimization_method,optimization_trials,decision,already_in_existing_release_line,model_path
full_cosmetics,Cosmetics,cosmetics,12950174,3841,1179,3000,0.4645,0.0847,0.5068,2.5807,0.3461,lee_tpe_bayesian,8,reject_for_now,False,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\pubchem_pipeline\full_category_decision\models\full_cosmetics.json
full_dietary_ingredients,Dietary Ingredients,dietary_ingredients,18246703,63,62,3000,0.5000,0.0000,0.5000,1.7000,0.5000,grid_w_objective_fallback,0,reject_for_now,False,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\pubchem_pipeline\full_category_decision\models\full_dietary_ingredients.json
full_animal_drugs,Animal Drugs,animal_drugs,12950173,907,859,3000,0.5816,0.1340,0.5670,2.4372,0.0500,grid_w_objective_fallback,0,reject_for_now,False,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\pubchem_pipeline\full_category_decision\models\full_animal_drugs.json
full_biologics,Biologics,biologics,13589668,28,28,3000,0.7125,0.4177,0.7088,1.2059,0.1129,grid_w_objective_fallback,0,experimental_revisit,False,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\pubchem_pipeline\full_category_decision\models\full_biologics.json
full_human_drugs,Human Drugs,human_drugs,12950172,3943,1167,3000,0.7128,0.3528,0.6764,2.1599,0.0500,grid_w_objective_fallback,0,experimental_revisit,False,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\pubchem_pipeline\full_category_decision\models\full_human_drugs.json
full_endocrine_disruptors,Endocrine Disruptors,endocrine_disruptors,12950175,6125,1196,3000,0.8391,0.5025,0.7512,1.5713,0.0853,grid_w_objective_fallback,0,release_candidate,False,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\pubchem_pipeline\full_category_decision\models\full_endocrine_disruptors.json
full_flame_retardants,Flame Retardants,flame_retardants,13315350,64,62,3000,0.5000,0.0000,0.5000,1.7000,0.5000,grid_w_objective_fallback,0,reject_for_now,False,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\pubchem_pipeline\full_category_decision\models\full_flame_retardants.json
full_flavoring_agents,Flavoring Agents,flavoring_agents,17821330,2444,1163,3000,0.9245,0.7358,0.8679,0.9360,0.6184,grid_w_objective_fallback,0,strong_release_candidate,False,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\pubchem_pipeline\full_category_decision\models\full_flavoring_agents.json
full_food_additives,Food Additives,food_additives,12946439,2960,1169,3000,0.8117,0.5030,0.7515,1.7126,0.4343,lee_tpe_bayesian,8,release_candidate,False,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\pubchem_pipeline\full_category_decision\models\full_food_additives.json
full_food_contact_substances,Food Contact Substances,food_contact_substances,17227309,1945,1187,3000,0.5000,0.0000,0.5000,1.7000,0.5000,grid_w_objective_fallback,0,reject_for_now,False,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\pubchem_pipeline\full_category_decision\models\full_food_contact_substances.json
full_fragrances,Fragrances,fragrances,12950244,2548,1138,3000,0.8969,0.6711,0.8355,1.1418,0.5619,lee_tpe_bayesian,8,existing_release_line,True,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\pubchem_pipeline\full_category_decision\models\full_fragrances.json
full_lipids,Lipids,lipids,12946385,48936,1185,3000,0.8950,0.6596,0.8298,1.2279,0.4356,lee_tpe_bayesian,8,release_candidate,False,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\pubchem_pipeline\full_category_decision\models\full_lipids.json
full_pfas,PFAS,pfas,12950177,6153,1182,3000,0.9936,0.9382,0.9691,0.2272,0.6312,lee_tpe_bayesian,8,strong_release_candidate,False,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\pubchem_pipeline\full_category_decision\models\full_pfas.json
full_pesticides,Pesticides,pesticides,12950176,2973,1169,3000,0.7697,0.4012,0.7006,2.1059,0.3283,lee_tpe_bayesian,8,existing_release_line,True,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\pubchem_pipeline\full_category_decision\models\full_pesticides.json
full_plasticizers,Plasticizers,plasticizers,13315351,90,90,3000,0.9105,0.7480,0.8740,0.9626,0.9875,grid_w_objective_fallback,0,experimental_revisit,False,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\pubchem_pipeline\full_category_decision\models\full_plasticizers.json
full_polymers,Polymers,polymers,12950178,1162,1134,3000,0.5000,0.0000,0.5000,1.7000,0.5000,grid_w_objective_fallback,0,reject_for_now,False,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\pubchem_pipeline\full_category_decision\models\full_polymers.json
full_solvents,Solvents,solvents,13315352,632,605,3000,0.9423,0.8165,0.9082,0.6190,0.4813,grid_w_objective_fallback,0,strong_release_candidate,False,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\pubchem_pipeline\full_category_decision\models\full_solvents.json
full_surfactants,Surfactants,surfactants,13589650,268,268,3000,0.9524,0.8031,0.9015,0.6989,0.7000,grid_w_objective_fallback,0,existing_release_line,True,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\pubchem_pipeline\full_category_decision\models\full_surfactants.json
full_uvcb,UVCB,uvcb,12950245,315,315,3000,0.5759,0.1001,0.5500,2.6527,0.0500,grid_w_objective_fallback,0,reject_for_now,False,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\pubchem_pipeline\full_category_decision\models\full_uvcb.json
