node_id,hnid,name,depth,compound_count,child_count,is_leaf,parent_path,path
node_231,1857282,Agrochemical Information,1,2852,4,False,PubChem Compound TOC,PubChem Compound TOC > Agrochemical Information
node_232,1857046,Agrochemical Category,2,1677,0,True,PubChem Compound TOC > Agrochemical Information,PubChem Compound TOC > Agrochemical Information > Agrochemical Category
node_235,3973846,Agrochemical Transformations,2,1494,0,True,PubChem Compound TOC > Agrochemical Information,PubChem Compound TOC > Agrochemical Information > Agrochemical Transformations
node_233,1857255,EU Pesticides Data,2,1039,0,True,PubChem Compound TOC > Agrochemical Information,PubChem Compound TOC > Agrochemical Information > EU Pesticides Data
node_234,3647581,USDA Pesticide Data Program,2,647,0,True,PubChem Compound TOC > Agrochemical Information,PubChem Compound TOC > Agrochemical Information > USDA Pesticide Data Program
node_224,1857178,Associated Disorders and Diseases,1,30162,1,False,PubChem Compound TOC,PubChem Compound TOC > Associated Disorders and Diseases
node_225,4112372,Disease and References,2,13410,0,True,PubChem Compound TOC > Associated Disorders and Diseases,PubChem Compound TOC > Associated Disorders and Diseases > Disease and References
node_1,1856929,Biologic Description,1,2624625,10,False,PubChem Compound TOC,PubChem Compound TOC > Biologic Description
node_2,1857064,Biologic Depiction,2,2592992,0,True,PubChem Compound TOC > Biologic Description,PubChem Compound TOC > Biologic Description > Biologic Depiction
node_3,3647531,Biologic Line Notation,2,2541613,0,True,PubChem Compound TOC > Biologic Description,PubChem Compound TOC > Biologic Description > Biologic Line Notation
node_9,4348003,GlyCosmos Monoisotopic Mass,2,37586,0,True,PubChem Compound TOC > Biologic Description,PubChem Compound TOC > Biologic Description > GlyCosmos Monoisotopic Mass
node_11,4636480,GlyCosmos Species,2,8375,0,True,PubChem Compound TOC > Biologic Description,PubChem Compound TOC > Biologic Description > GlyCosmos Species
node_8,4348002,GlyCosmos Subsumption,2,39752,0,True,PubChem Compound TOC > Biologic Description,PubChem Compound TOC > Biologic Description > GlyCosmos Subsumption
node_10,4636478,GlyCosmos Tissue/Organ,2,127,0,True,PubChem Compound TOC > Biologic Description,PubChem Compound TOC > Biologic Description > GlyCosmos Tissue/Organ
node_4,3966266,GlyGen Classification,2,11194,0,True,PubChem Compound TOC > Biologic Description,PubChem Compound TOC > Biologic Description > GlyGen Classification
node_5,3966267,GlyGen Motifs,2,8908,0,True,PubChem Compound TOC > Biologic Description,PubChem Compound TOC > Biologic Description > GlyGen Motifs
node_6,4242880,Monosaccharide Composition,2,15689,0,True,PubChem Compound TOC > Biologic Description,PubChem Compound TOC > Biologic Description > Monosaccharide Composition
node_7,4242881,Permethylated Mass,2,15665,0,True,PubChem Compound TOC > Biologic Description,PubChem Compound TOC > Biologic Description > Permethylated Mass
node_727,3647709,Biological Test Results,1,5124474,2,False,PubChem Compound TOC,PubChem Compound TOC > Biological Test Results
node_729,18951461,Antiviral Activity,2,5087,0,True,PubChem Compound TOC > Biological Test Results,PubChem Compound TOC > Biological Test Results > Antiviral Activity
node_728,3647710,BioAssay Results,2,5123025,0,True,PubChem Compound TOC > Biological Test Results,PubChem Compound TOC > Biological Test Results > BioAssay Results
node_115,1857008,Chemical and Physical Properties,1,334422,3,False,PubChem Compound TOC,PubChem Compound TOC > Chemical and Physical Properties
node_116,1857014,Chemical Classes,2,92390,17,False,PubChem Compound TOC > Chemical and Physical Properties,PubChem Compound TOC > Chemical and Physical Properties > Chemical Classes
node_129,13589649,Drugs,3,15122,3,False,PubChem Compound TOC > Chemical and Physical Properties > Chemical Classes,PubChem Compound TOC > Chemical and Physical Properties > Chemical Classes > Drugs
node_131,12950173,Animal Drugs,4,907,0,True,PubChem Compound TOC > Chemical and Physical Properties > Chemical Classes > Drugs,PubChem Compound TOC > Chemical and Physical Properties > Chemical Classes > Drugs > Animal Drugs
node_132,13589668,Biologics,4,28,0,True,PubChem Compound TOC > Chemical and Physical Properties > Chemical Classes > Drugs,PubChem Compound TOC > Chemical and Physical Properties > Chemical Classes > Drugs > Biologics
node_130,12950172,Human Drugs,4,3943,0,True,PubChem Compound TOC > Chemical and Physical Properties > Chemical Classes > Drugs,PubChem Compound TOC > Chemical and Physical Properties > Chemical Classes > Drugs > Human Drugs
node_119,12950174,Cosmetics,3,3841,0,True,PubChem Compound TOC > Chemical and Physical Properties > Chemical Classes,PubChem Compound TOC > Chemical and Physical Properties > Chemical Classes > Cosmetics
node_136,18246703,Dietary Ingredients,3,63,0,True,PubChem Compound TOC > Chemical and Physical Properties > Chemical Classes,PubChem Compound TOC > Chemical and Physical Properties > Chemical Classes > Dietary Ingredients
node_120,12950175,Endocrine Disruptors,3,6125,0,True,PubChem Compound TOC > Chemical and Physical Properties > Chemical Classes,PubChem Compound TOC > Chemical and Physical Properties > Chemical Classes > Endocrine Disruptors
node_126,13315350,Flame Retardants,3,64,0,True,PubChem Compound TOC > Chemical and Physical Properties > Chemical Classes,PubChem Compound TOC > Chemical and Physical Properties > Chemical Classes > Flame Retardants
node_135,17821330,Flavoring Agents,3,2444,0,True,PubChem Compound TOC > Chemical and Physical Properties > Chemical Classes,PubChem Compound TOC > Chemical and Physical Properties > Chemical Classes > Flavoring Agents
node_118,12946439,Food Additives,3,2960,0,True,PubChem Compound TOC > Chemical and Physical Properties > Chemical Classes,PubChem Compound TOC > Chemical and Physical Properties > Chemical Classes > Food Additives
node_134,17227309,Food Contact Substances,3,1945,0,True,PubChem Compound TOC > Chemical and Physical Properties > Chemical Classes,PubChem Compound TOC > Chemical and Physical Properties > Chemical Classes > Food Contact Substances
node_124,12950244,Fragrances,3,2548,0,True,PubChem Compound TOC > Chemical and Physical Properties > Chemical Classes,PubChem Compound TOC > Chemical and Physical Properties > Chemical Classes > Fragrances
node_117,12946385,Lipids,3,48936,0,True,PubChem Compound TOC > Chemical and Physical Properties > Chemical Classes,PubChem Compound TOC > Chemical and Physical Properties > Chemical Classes > Lipids
node_121,12950176,Pesticides,3,2973,0,True,PubChem Compound TOC > Chemical and Physical Properties > Chemical Classes,PubChem Compound TOC > Chemical and Physical Properties > Chemical Classes > Pesticides
node_122,12950177,PFAS,3,6153,0,True,PubChem Compound TOC > Chemical and Physical Properties > Chemical Classes,PubChem Compound TOC > Chemical and Physical Properties > Chemical Classes > PFAS
node_127,13315351,Plasticizers,3,90,0,True,PubChem Compound TOC > Chemical and Physical Properties > Chemical Classes,PubChem Compound TOC > Chemical and Physical Properties > Chemical Classes > Plasticizers
node_123,12950178,Polymers,3,1162,0,True,PubChem Compound TOC > Chemical and Physical Properties > Chemical Classes,PubChem Compound TOC > Chemical and Physical Properties > Chemical Classes > Polymers
node_128,13315352,Solvents,3,632,0,True,PubChem Compound TOC > Chemical and Physical Properties > Chemical Classes,PubChem Compound TOC > Chemical and Physical Properties > Chemical Classes > Solvents
