panel_id,family_id,display_name,prototype_family_name,member_count,pubchem_official_named_subtype_available,naming_mode,pubchem_source_candidates,pubchem_source_hnids,representative_smiles
animal_drugs,official_17764144,Animal Drugs Official / QA - Alimentary tract and metabolism,QA - Alimentary tract and metabolism,68,True,official_pubchem_subtype,ATCvet Classification,source_hid=136; subtype_hnid=17764144,C[N+](C)(C)CC(=O)[O-]
animal_drugs,official_17764118,Animal Drugs Official / QC - Cardiovascular system,QC - Cardiovascular system,28,True,official_pubchem_subtype,ATCvet Classification,source_hid=136; subtype_hnid=17764118,C1=CC=C(C=C1)O
animal_drugs,official_17764188,Animal Drugs Official / QD - Dermatologicals,QD - Dermatologicals,53,True,official_pubchem_subtype,ATCvet Classification,source_hid=136; subtype_hnid=17764188,C1=CC=C(C(=C1)C(=O)O)O
animal_drugs,official_17764164,Animal Drugs Official / QG - Genito urinary system and sex hormones,QG - Genito urinary system and sex hormones,46,True,official_pubchem_subtype,ATCvet Classification,source_hid=136; subtype_hnid=17764164,CC(=O)O
animal_drugs,official_17764193,Animal Drugs Official / QJ - Antiinfectives for systemic use,QJ - Antiinfectives for systemic use,82,True,official_pubchem_subtype,ATCvet Classification,source_hid=136; subtype_hnid=17764193,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4
animal_drugs,official_17764256,Animal Drugs Official / QJ01 - Antibacterials for systemic use,QJ01 - Antibacterials for systemic use,75,True,official_pubchem_subtype,ATCvet Classification,source_hid=136; subtype_hnid=17764256,CC1CCC2=C3N1C=C(C(=O)C3=CC(=C2)F)C(=O)O
animal_drugs,official_17764312,Animal Drugs Official / QJ51 - Antibacterials for intramammary use,QJ51 - Antibacterials for intramammary use,27,True,official_pubchem_subtype,ATCvet Classification,source_hid=136; subtype_hnid=17764312,CC(C1CCC(C(O1)OC2C(CC(C(C2O)OC3C(C(C(CO3)(C)O)NC)O)N)N)N)NC
animal_drugs,official_17764365,Animal Drugs Official / QM - Musculo-skeletal system,QM - Musculo-skeletal system,25,True,official_pubchem_subtype,ATCvet Classification,source_hid=136; subtype_hnid=17764365,CS(=O)C
animal_drugs,official_17764123,Animal Drugs Official / QN - Nervous system,QN - Nervous system,55,True,official_pubchem_subtype,ATCvet Classification,source_hid=136; subtype_hnid=17764123,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC
animal_drugs,official_17764251,"Animal Drugs Official / QP - Antiparasitic products, insecticides and repellents","QP - Antiparasitic products, insecticides and repellents",86,True,official_pubchem_subtype,ATCvet Classification,source_hid=136; subtype_hnid=17764251,C(=O)O
animal_drugs,official_17764548,Animal Drugs Official / QP51 - Antiprotozoals,QP51 - Antiprotozoals,28,True,official_pubchem_subtype,ATCvet Classification,source_hid=136; subtype_hnid=17764548,CC1=NC=C(N1C)[N+](=O)[O-]
animal_drugs,official_17764252,"Animal Drugs Official / QP53 - Ectoparasiticides, insecticides and repellents","QP53 - Ectoparasiticides, insecticides and repellents",31,True,official_pubchem_subtype,ATCvet Classification,source_hid=136; subtype_hnid=17764252,C(=O)O
animal_drugs,official_17764177,Animal Drugs Official / QS - Sensory organs,QS - Sensory organs,47,True,official_pubchem_subtype,ATCvet Classification,source_hid=136; subtype_hnid=17764177,CC(=O)O
animal_drugs,official_17764178,Animal Drugs Official / QS01 - Ophthalmologicals,QS01 - Ophthalmologicals,43,True,official_pubchem_subtype,ATCvet Classification,source_hid=136; subtype_hnid=17764178,C1=CC=C(C(=C1)C(=O)O)O
cosmetics,family_02,Cosmetics Prototype / Ester Long Chain Family,ester_long_chain_family,41,False,prototype_family_plus_pubchem_source_reference,California Safe Cosmetics Program (CSCP) Product Database; Consumer Product Information Database Classification; EPA CPDat Classification,13590446; 4364672; 3670675,CCCCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCCCCCCCC)O
cosmetics,family_01,Cosmetics Prototype / Long Chain Ester Family,long_chain_ester_family,109,False,prototype_family_plus_pubchem_source_reference,California Safe Cosmetics Program (CSCP) Product Database; Consumer Product Information Database Classification; EPA CPDat Classification,13590446; 4364672; 3670675,CCCCCCCCCCCCCCCCCCCCCC(=O)OCCCCCCCCCCCC
cosmetics,family_04,Cosmetics Prototype / Long Chain Family,long_chain_family,19,False,prototype_family_plus_pubchem_source_reference,California Safe Cosmetics Program (CSCP) Product Database; Consumer Product Information Database Classification; EPA CPDat Classification,13590446; 4364672; 3670675,CCCCCCCCCCCCCCCCCCCCCC(=O)NCCO
cosmetics,family_06,Cosmetics Prototype / Long Chain Family,long_chain_family,16,False,prototype_family_plus_pubchem_source_reference,California Safe Cosmetics Program (CSCP) Product Database; Consumer Product Information Database Classification; EPA CPDat Classification,13590446; 4364672; 3670675,CCCCCCCCCCCCCC(=O)[O-].[Na+]
