category,evidence_regime,benchmark_name,availability,auc,ks,balanced_accuracy,threshold,positive_count,negative_count,source_artifact,comparison_note
Pesticides,original_native_submission,Pesticides / Kim Nayeon original submission,available,0.9710,,,,,,김나연_20250786_pesticide.ipynb,"Original notebook benchmark; PR-AUC 0.9763, accuracy 0.9169, MCC 0.8337 were also reported in the source summary."
Pesticides,original_native_submission,Pesticides / Lee Seoyun original submission,available,0.9520,0.8710,0.9350,0.3430,,,이서윤_20251288_Agrochemical.ipynb,"This is Lee's native benchmark regime, not the broad PubChem stress test."
Pesticides,broad_unrepaired_property_matched,Pesticides / unrepaired property-matched stress test,available,0.5256,0.2863,0.6431,0.9548,100,227,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv,Unrepaired broad hard-negative stress metric; do not compare directly to native/original notebook rows.
Cosmetics,original_native_submission,Cosmetics / Choi Yebin original automated pipeline,available,0.7080,,,,,,최예빈_20251266_pesticide.ipynb,Original notebook auto-pipeline selected patterns and then optimized only w for AUC.
Cosmetics,same_pair_hybrid,Cosmetics / Choi pipeline + Lee Bayesian optimization (same input pair),available,0.6683,0.4032,0.7016,0.5059,,1501,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\choi_cosmetic_hybrid_samepair.json,"Same cosmetics-vs-pesticides input pair as the original Choi notebook, but re-fit with the hybrid multi-objective tuner plus fallback."
Cosmetics,broad_unrepaired_property_matched,Cosmetics / unrepaired property-matched stress test,available,0.6000,0.2000,0.6000,0.0333,100,122,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv,Unrepaired broad hard-negative stress metric; do not compare directly to native/original notebook rows.
Cosmetics,broad_audited_hard_negative,Cosmetics / audited hard-negative stress test,available,0.6000,0.2000,0.6000,0.0333,100,122,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv | D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\audited_hard_negative_audit_summary.csv,Audited broad hard-negative metric after deterministic negative-set audit; keep alongside the unrepaired property-matched row.
Fragrances,original_native_submission,Fragrances / Choi Yebin original automated pipeline,available,0.8950,,,,,,최예빈_20251266_pesticide.ipynb,Original notebook auto-pipeline with AUC-only optimization of w.
Fragrances,same_pair_hybrid,Fragrances / Choi pipeline + Lee Bayesian optimization (same input pair),available,0.9152,0.7067,0.8533,0.5730,,1757,D:\DSWU\2026_기말고사\algorithm_paper_app\app\data\models\choi_fragrance.json,"Same fragrance-vs-pesticides input pair as the original Choi notebook, re-fit with the hybrid multi-objective tuner."
Fragrances,broad_unrepaired_property_matched,Fragrances / unrepaired property-matched stress test,available,0.6100,0.2200,0.6100,0.1071,100,82,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv,Unrepaired broad hard-negative stress metric; do not compare directly to native/original notebook rows.
Fragrances,broad_audited_hard_negative,Fragrances / audited hard-negative stress test,available,0.6100,0.2200,0.6100,0.1071,100,22,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv | D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\audited_hard_negative_audit_summary.csv,Audited broad hard-negative metric after deterministic negative-set audit; keep alongside the unrepaired property-matched row.
Surfactants,original_native_submission,Surfactants / Choi Yebin original automated pipeline,available,0.9660,,,,,,최예빈_20251266_pesticide.ipynb,Original notebook auto-pipeline with AUC-only optimization of w.
Surfactants,same_pair_hybrid,Surfactants / Choi pipeline + Lee Bayesian optimization (same input pair),available,0.9649,0.8623,0.9311,0.5737,,2782,D:\DSWU\2026_기말고사\algorithm_paper_app\app\data\models\choi_surfactant.json,"Same surfactant-vs-pesticides input pair as the original Choi notebook, re-fit with the hybrid multi-objective tuner."
Surfactants,broad_unrepaired_property_matched,Surfactants / unrepaired property-matched stress test,available,0.5600,0.1200,0.5600,1.0000,100,134,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv,Unrepaired broad hard-negative stress metric; do not compare directly to native/original notebook rows.
PFAS,broad_stress_all_other_random,PFAS / all-other-random broad stress baseline,available,0.9852,0.9133,0.9566,0.5100,100,282,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv,Broad stress baseline from score robustness outputs; keep separate from native/original and same-pair hybrid evidence.
PFAS,broad_stress_related_hard,PFAS / related-hard broad stress baseline,available,0.9956,0.9570,0.9785,0.5094,100,273,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv,Broad stress baseline from score robustness outputs; keep separate from native/original and same-pair hybrid evidence.
PFAS,broad_stress_distant_other,PFAS / distant-other broad stress baseline,available,0.9866,0.9193,0.9596,0.4941,100,280,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv,Broad stress baseline from score robustness outputs; keep separate from native/original and same-pair hybrid evidence.
