category,seed,regime,positive_count,negative_count,auc,ks,balanced_accuracy,overlap,threshold,optimization_method
pfas,11,all_other_random,100,282,0.9852,0.9133,0.9566,0.1074,0.51,lee_tpe_bayesian
pfas,11,related_hard,100,273,0.9956,0.957,0.9785,0.0675,0.5094,grid_w_objective_fallback
pfas,11,distant_other,100,280,0.9866,0.9193,0.9596,0.1144,0.4941,grid_w_objective_fallback
pfas,11,property_matched,100,276,0.9985,0.9674,0.9837,0.0326,0.5029,grid_w_objective_fallback
solvents,11,all_other_random,100,205,0.9431,0.808,0.904,0.2192,0.6562,grid_w_objective_fallback
solvents,11,related_hard,100,151,0.9159,0.6748,0.8374,0.3526,0.3481,lee_tpe_bayesian
solvents,11,distant_other,100,207,0.9366,0.7944,0.8972,0.222,0.4813,grid_w_objective_fallback
solvents,11,property_matched,100,134,0.47,0.2325,0.574,0.2593,0.9672,grid_w_objective_fallback
flavoring_agents,11,all_other_random,100,205,0.921,0.7117,0.8559,0.3116,0.8812,grid_w_objective_fallback
flavoring_agents,11,related_hard,100,123,0.8208,0.528,0.764,0.4647,0.8812,grid_w_objective_fallback
flavoring_agents,11,distant_other,100,229,0.9437,0.7708,0.8854,0.2486,0.7875,grid_w_objective_fallback
flavoring_agents,11,property_matched,100,59,0.525,0.05,0.525,0.0,0.4,grid_w_objective_fallback
flavoring_agents,11,audited_hard_negative,100,25,0.535,0.07,0.535,0.0,0.2857,grid_w_objective_fallback
food_additives,11,all_other_random,100,202,0.7731,0.4636,0.7318,0.576,0.3249,lee_tpe_bayesian
food_additives,11,related_hard,100,159,0.785,0.4791,0.7395,0.5534,0.4707,lee_tpe_bayesian
food_additives,11,distant_other,100,207,0.7688,0.4529,0.7265,0.5805,0.4061,lee_tpe_bayesian
food_additives,11,property_matched,100,65,0.4247,0.27,0.5546,0.0794,0.955,grid_w_objective_fallback
lipids,11,all_other_random,100,242,0.8199,0.4881,0.744,0.4923,0.05,grid_w_objective_fallback
lipids,11,related_hard,100,196,0.8926,0.6153,0.8077,0.4589,0.4221,grid_w_objective_fallback
lipids,11,distant_other,100,257,0.8739,0.6205,0.8102,0.4685,0.4903,grid_w_objective_fallback
lipids,11,property_matched,100,137,0.625,0.25,0.625,0.0,0.0385,grid_w_objective_fallback
lipids,11,audited_hard_negative,100,134,0.62,0.24,0.62,0.0,0.04,grid_w_objective_fallback
endocrine_disruptors,11,all_other_random,100,206,0.8111,0.4832,0.7416,0.4522,0.1096,grid_w_objective_fallback
endocrine_disruptors,11,related_hard,100,244,0.7935,0.4584,0.7292,0.5949,0.504,lee_tpe_bayesian
endocrine_disruptors,11,distant_other,100,175,0.8704,0.5957,0.7979,0.3852,0.0625,grid_w_objective_fallback
endocrine_disruptors,11,property_matched,100,207,0.3899,0.28,0.5278,0.0317,0.9589,grid_w_objective_fallback
pesticides,11,all_other_random,100,238,0.7702,0.4086,0.7043,0.482,0.1123,grid_w_objective_fallback
pesticides,11,related_hard,100,250,0.682,0.362,0.681,0.5119,0.0622,grid_w_objective_fallback
pesticides,11,distant_other,100,241,0.7842,0.4763,0.7381,0.426,0.0991,grid_w_objective_fallback
pesticides,11,property_matched,100,227,0.5256,0.2863,0.6431,0.1462,0.9548,grid_w_objective_fallback
fragrances,11,all_other_random,100,187,0.8287,0.6114,0.8057,0.413,0.5,grid_w_objective_fallback
fragrances,11,related_hard,100,123,0.735,0.4372,0.7186,0.5393,0.5634,grid_w_objective_fallback
fragrances,11,distant_other,100,217,0.8807,0.7094,0.8547,0.337,0.95,grid_w_objective_fallback
fragrances,11,property_matched,100,82,0.61,0.22,0.61,0.0,0.1071,grid_w_objective_fallback
fragrances,11,audited_hard_negative,100,22,0.61,0.22,0.61,0.0,0.1071,grid_w_objective_fallback
surfactants,11,all_other_random,100,234,0.9431,0.7888,0.8944,0.2376,0.7208,grid_w_objective_fallback
surfactants,11,related_hard,100,178,0.9693,0.8582,0.9291,0.165,0.6,grid_w_objective_fallback
surfactants,11,distant_other,100,259,0.935,0.7819,0.8909,0.2469,0.6455,grid_w_objective_fallback
surfactants,11,property_matched,100,134,0.56,0.12,0.56,0.0,1.0,grid_w_objective_fallback
cosmetics,11,all_other_random,100,217,0.5384,0.0597,0.5299,0.6162,0.0429,grid_w_objective_fallback
cosmetics,11,related_hard,100,164,0.6475,0.2173,0.6087,0.4574,0.0778,grid_w_objective_fallback
cosmetics,11,distant_other,100,243,0.505,0.01,0.505,0.0,1.0,grid_w_objective_fallback
cosmetics,11,property_matched,100,122,0.6,0.2,0.6,0.0,0.0333,grid_w_objective_fallback
cosmetics,11,audited_hard_negative,100,122,0.6,0.2,0.6,0.0,0.0333,grid_w_objective_fallback
food_contact_substances,11,all_other_random,100,201,0.5,0.0,0.5,0.0,0.5,grid_w_objective_fallback
food_contact_substances,11,related_hard,100,149,0.6166,0.1893,0.5946,0.649,0.05,grid_w_objective_fallback
food_contact_substances,11,distant_other,100,243,0.5,0.0,0.5,0.0,0.5,grid_w_objective_fallback
food_contact_substances,11,property_matched,100,236,0.44,0.24,0.5573,0.1113,0.9525,grid_w_objective_fallback
food_contact_substances,11,audited_hard_negative,100,192,0.38,0.24,0.5,0.0,0.5,grid_w_objective_fallback
human_drugs,11,all_other_random,100,268,0.7606,0.4766,0.7383,0.5841,0.4854,grid_w_objective_fallback
human_drugs,11,related_hard,100,257,0.7445,0.4398,0.7199,0.6129,0.5,grid_w_objective_fallback
human_drugs,11,distant_other,100,289,0.8148,0.5436,0.7718,0.4955,0.5,grid_w_objective_fallback
human_drugs,11,property_matched,100,237,0.3815,0.2347,0.5,0.1983,0.5,grid_w_objective_fallback
human_drugs,11,audited_hard_negative,100,135,0.4309,0.2526,0.548,0.2173,0.9906,grid_w_objective_fallback
animal_drugs,11,all_other_random,100,221,0.53,0.06,0.53,0.0,1.0,grid_w_objective_fallback
animal_drugs,11,related_hard,100,217,0.5973,0.1641,0.582,0.6491,0.1,grid_w_objective_fallback
animal_drugs,11,distant_other,100,222,0.53,0.06,0.53,0.0,1.0,grid_w_objective_fallback
animal_drugs,11,property_matched,100,254,0.43,0.2,0.53,0.0,0.625,grid_w_objective_fallback
animal_drugs,11,audited_hard_negative,100,142,0.3924,0.24,0.5115,0.0252,0.9638,grid_w_objective_fallback
