category,regime,runs,auc_mean,auc_sd,auc_min,auc_max,ks_mean,ks_sd,balanced_accuracy_mean,balanced_accuracy_sd
pfas,all_other_random,1,0.9852,0.0,0.9852,0.9852,0.9133,0.0,0.9566,0.0
pfas,related_hard,1,0.9956,0.0,0.9956,0.9956,0.957,0.0,0.9785,0.0
pfas,distant_other,1,0.9866,0.0,0.9866,0.9866,0.9193,0.0,0.9596,0.0
pfas,property_matched,1,0.9985,0.0,0.9985,0.9985,0.9674,0.0,0.9837,0.0
solvents,all_other_random,1,0.9431,0.0,0.9431,0.9431,0.808,0.0,0.904,0.0
solvents,related_hard,1,0.9159,0.0,0.9159,0.9159,0.6748,0.0,0.8374,0.0
solvents,distant_other,1,0.9366,0.0,0.9366,0.9366,0.7944,0.0,0.8972,0.0
solvents,property_matched,1,0.47,0.0,0.47,0.47,0.2325,0.0,0.574,0.0
flavoring_agents,all_other_random,1,0.921,0.0,0.921,0.921,0.7117,0.0,0.8559,0.0
flavoring_agents,related_hard,1,0.8208,0.0,0.8208,0.8208,0.528,0.0,0.764,0.0
flavoring_agents,distant_other,1,0.9437,0.0,0.9437,0.9437,0.7708,0.0,0.8854,0.0
flavoring_agents,property_matched,1,0.525,0.0,0.525,0.525,0.05,0.0,0.525,0.0
flavoring_agents,audited_hard_negative,1,0.535,0.0,0.535,0.535,0.07,0.0,0.535,0.0
food_additives,all_other_random,1,0.7731,0.0,0.7731,0.7731,0.4636,0.0,0.7318,0.0
food_additives,related_hard,1,0.785,0.0,0.785,0.785,0.4791,0.0,0.7395,0.0
food_additives,distant_other,1,0.7688,0.0,0.7688,0.7688,0.4529,0.0,0.7265,0.0
food_additives,property_matched,1,0.4247,0.0,0.4247,0.4247,0.27,0.0,0.5546,0.0
lipids,all_other_random,1,0.8199,0.0,0.8199,0.8199,0.4881,0.0,0.744,0.0
lipids,related_hard,1,0.8926,0.0,0.8926,0.8926,0.6153,0.0,0.8077,0.0
lipids,distant_other,1,0.8739,0.0,0.8739,0.8739,0.6205,0.0,0.8102,0.0
lipids,property_matched,1,0.625,0.0,0.625,0.625,0.25,0.0,0.625,0.0
lipids,audited_hard_negative,1,0.62,0.0,0.62,0.62,0.24,0.0,0.62,0.0
endocrine_disruptors,all_other_random,1,0.8111,0.0,0.8111,0.8111,0.4832,0.0,0.7416,0.0
endocrine_disruptors,related_hard,1,0.7935,0.0,0.7935,0.7935,0.4584,0.0,0.7292,0.0
endocrine_disruptors,distant_other,1,0.8704,0.0,0.8704,0.8704,0.5957,0.0,0.7979,0.0
endocrine_disruptors,property_matched,1,0.3899,0.0,0.3899,0.3899,0.28,0.0,0.5278,0.0
pesticides,all_other_random,1,0.7702,0.0,0.7702,0.7702,0.4086,0.0,0.7043,0.0
pesticides,related_hard,1,0.682,0.0,0.682,0.682,0.362,0.0,0.681,0.0
pesticides,distant_other,1,0.7842,0.0,0.7842,0.7842,0.4763,0.0,0.7381,0.0
pesticides,property_matched,1,0.5256,0.0,0.5256,0.5256,0.2863,0.0,0.6431,0.0
fragrances,all_other_random,1,0.8287,0.0,0.8287,0.8287,0.6114,0.0,0.8057,0.0
fragrances,related_hard,1,0.735,0.0,0.735,0.735,0.4372,0.0,0.7186,0.0
fragrances,distant_other,1,0.8807,0.0,0.8807,0.8807,0.7094,0.0,0.8547,0.0
fragrances,property_matched,1,0.61,0.0,0.61,0.61,0.22,0.0,0.61,0.0
fragrances,audited_hard_negative,1,0.61,0.0,0.61,0.61,0.22,0.0,0.61,0.0
surfactants,all_other_random,1,0.9431,0.0,0.9431,0.9431,0.7888,0.0,0.8944,0.0
surfactants,related_hard,1,0.9693,0.0,0.9693,0.9693,0.8582,0.0,0.9291,0.0
surfactants,distant_other,1,0.935,0.0,0.935,0.935,0.7819,0.0,0.8909,0.0
surfactants,property_matched,1,0.56,0.0,0.56,0.56,0.12,0.0,0.56,0.0
cosmetics,all_other_random,1,0.5384,0.0,0.5384,0.5384,0.0597,0.0,0.5299,0.0
cosmetics,related_hard,1,0.6475,0.0,0.6475,0.6475,0.2173,0.0,0.6087,0.0
cosmetics,distant_other,1,0.505,0.0,0.505,0.505,0.01,0.0,0.505,0.0
cosmetics,property_matched,1,0.6,0.0,0.6,0.6,0.2,0.0,0.6,0.0
cosmetics,audited_hard_negative,1,0.6,0.0,0.6,0.6,0.2,0.0,0.6,0.0
food_contact_substances,all_other_random,1,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.0
food_contact_substances,related_hard,1,0.6166,0.0,0.6166,0.6166,0.1893,0.0,0.5946,0.0
food_contact_substances,distant_other,1,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.0
food_contact_substances,property_matched,1,0.44,0.0,0.44,0.44,0.24,0.0,0.5573,0.0
food_contact_substances,audited_hard_negative,1,0.38,0.0,0.38,0.38,0.24,0.0,0.5,0.0
human_drugs,all_other_random,1,0.7606,0.0,0.7606,0.7606,0.4766,0.0,0.7383,0.0
human_drugs,related_hard,1,0.7445,0.0,0.7445,0.7445,0.4398,0.0,0.7199,0.0
human_drugs,distant_other,1,0.8148,0.0,0.8148,0.8148,0.5436,0.0,0.7718,0.0
human_drugs,property_matched,1,0.3815,0.0,0.3815,0.3815,0.2347,0.0,0.5,0.0
human_drugs,audited_hard_negative,1,0.4309,0.0,0.4309,0.4309,0.2526,0.0,0.548,0.0
